Year,CHINOOK,CHUM,COHO,PINK,SOCKEYE,Grand Total,,,,
1979,,267857,,24926171,,25194028,,,,
1980,,857849,,24323330,,25181179,,,,
1981,,3194279,,93876752,,97071031,,,,
1982,,8882890,,125651548,,134534438,,,,
1983,,18464516,181386,140950150,,159596052,,,,
1984,,25195583,,158262153,,183457736,,,,
1985,,49909204,90000,217115561,,267114765,,,,
1986,57544,29256874,330316,289647730,,319292464,,,,
1987,,116470930,691136,297246327,396033,414804426,,,,
1988,44787,70247711,1697893,532044543,2499025,606533959,,,,
1989,144934,83187692,6079043,517869725,7495134,614776528,,,,
1990,141939,50600068,3267757,617247527,3447192,674704483,,,,
1991,603842,78570687,3230495,605425238,4727489,692557751,,,,
1992,573642,100735086,3057242,495701890,4370557,604438417,,,,
1993,669378,125697308,1764465,567320525,4370252,699821928,,,,
1994,787149,106196261,2400023,489220608,5163808,603767849,,,,
1995,637132,97859590,3389272,613158229,6429058,721473281,,,,
1996,86415,102314530,2151229,641675427,3316793,749544394,,,,
1997,95844,95760631,1518564,483704011,1215716,582294766,,,,
1998,79038,110065833,2156201,542383070,2669337,657353479,,,,
1999,,99294184,2931866,602128903,7072588,711427541,,,,
2000,,100301928,2001269,586607038,8297975,697208210,,,,
2001,,76116325,1738295,621062096,7495877,706412593,,,,
2002,,101255366,2327723,603754659,7858190,715195938,,,,
2003,,98832705,2216003,607943252,6576535,715568495,,,,
2004,,131172881,2431657,638846859,8801809,781253206,,,,
2005,,127186125,3026288,564053077,8322035,702587525,,,,
2006,,146015891,2564489,599490314,8428762,756499456,,,,
2007,,129100000,3823604,617608302,9267000,759798906,,,,
2008,,131500000,3758100,610639850,9267000,755164950,,,,
2009,,125100000,1751927,640202598,8672000,775726525,,,,
2010,,130200000,5405058,647083753,8160000,790848811,,,,
2011,,139500000,5591389,641603439,8680000,795374828,,,,
2012,49700,140300000,2897768,673526737,11040000,827814205,,,,
2013,48000,148300000,4867016,599576748,11500000,764291764,,,,
2014,25800,151500000,2717315,672936541,11460000,838639656,,,,
