Year,(W) CATHEAD CR,(W) HAYDEN CR,(W) HERRING BAY,(W) LOOMIS CR,(W) O'BRIAN CR,(W) TOTEMOFF CR,A F KOERNIG,CANNERY CREEK,MAIN BAY,SOLOMON GULCH,WALLY NOERENBERG,Grand Total
1979,,,,,,,22774739,2151432,,,,24926171
1980,,,,,,,21641757,2681573,,,,24323330
1981,,,,,,,72538000,21338752,,,,93876752
1982,,,,,,,70118000,47633548,,7900000,,125651548
1983,,,,,,,87384533,22122758,25842859,5600000,,140950150
1984,,,,,,,76746000,31180750,41945403,8390000,,158262153
1985,,,,,,,103531000,33035000,29286498,51263063,,217115561
1986,,,,,,,111266808,56495742,32728663,54630942,34525575,289647730
1987,,,,,,,116177645,42653000,2660000,59822967,75932715,297246327
1988,,,,,,,110036728,95572691,,130827285,195607839,532044543
1989,,,,,,,160486843,58969539,10200000,128499680,159713663,517869725
1990,154377,365037,393413,203315,289708,714459,113843914,143662511,,122242297,235378496,617247527
1991,234998,388739,273208,152446,347576,510213,115762047,141519850,,131295093,214941068,605425238
1992,,,,,,,112830588,132166231,,86902415,163802656,495701890
1993,,,,,,,113337400,140030396,,141865235,172087494,567320525
1994,,,,,,,92723581,84616614,,149473648,162406765,489220608
1995,,,,,,,108583112,130339451,,205371130,168864536,613158229
1996,,,,,,,108636976,140441131,,223088327,169508993,641675427
1997,,,,,,,51562609,136838852,,188862094,106440456,483704011
1998,,,,,,,105974235,137571564,,195162063,103675208,542383070
1999,,,,,,,133156995,131195588,,213906642,123869678,602128903
2000,,,,,,,142537692,132236317,,195763690,116069339,586607038
2001,,,,,,,150287930,139226716,,203897201,127650249,621062096
2002,,,,,,,156325094,138626713,,202573328,106229524,603754659
2003,,,,,,,146407222,135584680,,206397607,119553743,607943252
2004,,,,,,,170460145,136288850,,222457568,109640296,638846859
2005,,,,,,,131197783,126575805,,222218569,84060920,564053077
2006,,,,,,,159616613,138157160,,216921213,84795328,599490314
2007,,,,,,,179000000,141000000,,220408302,77200000,617608302
2008,,,,,,,144000000,131000000,,199639850,136000000,610639850
2009,,,,,,,145000000,141000000,,226202598,128000000,640202598
2010,,,,,,,149000000,139000000,,223083753,136000000,647083753
2011,,,,,,,148000000,135000000,,222603439,136000000,641603439
2012,,,,,,,150000000,172000000,,214526737,137000000,673526737
2013,,,,,,,152000000,94300000,,218276748,135000000,599576748
2014,,,,,,,154000000,171000000,,219936541,128000000,672936541
